id_personne;code_dept_naiss;code_lim_jur;code_pays_naiss;code_pays_nat_1;code_sit_familiale;intitule_lieu_naissance
139450;36;NULL;FR;FR;2;CHATEAUROUX
139570;87;NULL;FR;FR;2;LIMOGES
139860;18;NULL;FR;FR;7;ST GERMAIN DU PUY
139990;NULL;NULL;FR;FR;2;
140020;37;NULL;FR;FR;2;NAZELLES NEGRON
140180;85;NULL;FR;FR;2;.
140340;36;NULL;FR;FR;2;ST MARCEL
140470;36;NULL;FR;FR;2;LA VERNELLE
140680;NULL;NULL;MA;FR;3;FEDALA
140760;37;NULL;FR;FR;2;ST SYMPHORIEN
140890;37;NULL;FR;FR;1;TOURS
141430;37;NULL;FR;FR;7;ARTANNES
141480;NULL;NULL;DZ;FR;5;BOUGIE
141530;37;NULL;FR;FR;7;LOCHES
141540;37;NULL;FR;FR;7;TOURS
141570;17;NULL;FR;FR;5;CLION
141640;37;NULL;FR;FR;2;TOURS
142370;38;NULL;FR;FR;2;LA TRONCHE
142570;86;NULL;FR;FR;7;ORCHES
143000;41;NULL;FR;FR;2;SUEVRES
143320;54;NULL;FR;FR;7;NANCY
143420;NULL;NULL;FR;FR;2;
143480;79;NULL;FR;FR;7;PARTHENAY
143500;NULL;NULL;FR;FR;7;
143520;37;NULL;FR;FR;2;TOURS
144350;79;NULL;FR;FR;7;NIORT
144490;NULL;NULL;FR;FR;2;
144560;59;NULL;FR;FR;7;LILLE
145090;41;NULL;FR;FR;7;MONT TROUVEAU
145130;75;NULL;FR;FR;7;PARIS
145300;37;NULL;FR;FR;2;TOURS
145470;37;NULL;FR;FR;1;TOURS
145810;11;NULL;FR;FR;6;AUDE
146110;22;NULL;FR;FR;2;LOGUIVY PLOUGRAS
146480;71;NULL;FR;FR;2;CHALON SUR SAONE
146750;37;NULL;FR;FR;7;TOURS
146840;NULL;NULL;MA;FR;2;RABAT
147110;75;NULL;FR;FR;7;PARIS
147570;NULL;NULL;FR;FR;2;
147730;NULL;NULL;FR;FR;99;
148030;37;NULL;FR;FR;2;TOURS
148110;41;NULL;FR;FR;2;MAREUIL S CHER
148280;NULL;NULL;FR;FR;3;
148420;37;NULL;FR;FR;7;TOURS
148890;18;NULL;FR;FR;2;BOURGES
149030;NULL;NULL;FR;FR;2;
149370;37;NULL;FR;FR;3;TOURS
149470;93;NULL;FR;FR;7;AULNAIS SOUS BOIS
149640;81;NULL;FR;FR;7;ALBI
149890;NULL;NULL;FR;FR;7;
149940;36;NULL;FR;FR;7;LYE
150110;NULL;NULL;FR;FR;2;
150340;37;NULL;FR;FR;7;NOIZAY
150390;37;NULL;FR;FR;2;VILLELOIN-COULANGE
150520;NULL;NULL;FR;FR;2;
150830;37;NULL;FR;FR;2;TOURS
151450;37;NULL;FR;FR;5;AZAY SUR INDRE
152050;37;NULL;FR;FR;3;TOURS
152090;37;NULL;FR;FR;2;CHAMBRAY LES TOURS
